admin1Name_en,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr
Avtonomna Respublika Krym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinnytska,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
Volynska,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnipropetrovska,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,7,,,,,,,1,2,,,5,,,,,,,
Donetska,,3,73,3,32,25,,72,5,6,12,4,6,23,5,4,,38,4,4,10,17,38,3,5,28,8,6,5,6,2,2,3,3,9,22,6,6,6,16,7,9,3,114,5,4,,1,11,13,2,1,4,5,5,8,5,7,9,5,9,,,
Zhytomyrska,,,,,,16,26,,,,10,,2,2,6,,,,4,1,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakarpatska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaporizka,,,,,1,4,1,,,,,,,,2,,,,,,5,,17,6,4,8,,,3,,2,2,,3,,,,,,,,,1,,,,1,,,,5,2,,4,,,8,,,,,4,,3
Ivano-Frankivska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyivska,1,8,10,,8,5,,1,2,,2,,,,,6,1,1,9,6,1,7,24,13,1,,,1,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirovohradska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luhanska,2,,,,2,,3,5,,,,,,,,,2,4,,,,6,,2,,3,,6,8,,1,2,1,3,2,6,1,1,1,,1,5,1,,6,,6,,,7,,,3,9,,1,4,1,3,2,2,1,4,
Lvivska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
Mykolaivska,,,,,,,,,,2,,8,,,,,,4,,,,,,,,1,,,,,,,,34,,,,,14,61,,,,,,,1,,,,5,,,,,2,,,,,,,,
Odeska,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,,,,
Poltavska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
Rivnenska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumska,,55,6,,,,,1,,2,,19,15,6,,,,,,,,,,,,1,1,,5,,,6,,,,,3,,,,,,4,1,,,,,,,,1,,,,,,,,,,,,
Ternopilska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kharkivska,2,,2,,44,30,28,7,,,,,1,,1,,1,,3,23,14,,11,,,,8,1,15,,,1,1,2,,3,,5,46,8,1,,14,15,,11,19,,22,8,34,22,31,15,21,5,2,19,7,12,9,15,8,14
Khersonska,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,2,,,,4,,,,,,,,,,,1,2,
Khmelnytska,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherkaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chernivetska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chernihivska,,,,16,1,,,18,,13,2,,,2,,4,,7,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevastopilska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,2,11,6,,44,38,12,9,,,3,12,,,,,,9,3,,9,,23,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,