admin1Name_en,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,Totals
Avtonomna Respublika Krym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Vinnytska,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,12
Volynska,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Dnipropetrovska,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,1,,,,,,,,8
Donetska,,,26,2,4,1,3,1,7,1,3,1,1,4,5,2,,1,7,6,1,3,13,1,3,6,4,1,6,1,1,,1,,,7,7,2,1,2,,5,1,57,5,2,1,,,4,,1,2,4,3,2,,3,4,5,4,,,,,,,,238
Zhytomyrska,,,,,,4,2,,,,2,,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
Zakarpatska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Zaporizka,,,,,1,3,,,,2,3,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,,,,23
Ivano-Frankivska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kyivska,1,,7,3,3,7,1,1,6,,,,,,,,2,1,2,4,,4,1,7,8,,,,,,,,,1,,,,,,,19,,,,,,7,,,,,,,,,41,,,,,,,,,,,,,126
Kirovohradska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Luhanska,2,1,,,1,,,1,,,,,,,2,56,1,,,,,2,,3,,2,,4,5,3,,,3,,2,2,,,,,1,1,1,1,,,2,1,1,3,,1,,4,,,2,2,6,,1,4,4,,,,,,125
Lvivska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,7
Mykolaivska,,,,,,,,,,,,5,,,,,,7,1,,,,,4,,3,2,,,,,,,36,,,,,1,11,,,,,,,,,,,5,,,,,1,,,,,1,,,,,,,,77
Odeska,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,9
Poltavska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
Rivnenska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sumska,1,7,2,19,2,,,18,,1,,23,1,7,,2,,2,,,,,,,,,,,3,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,91
Ternopilska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kharkivska,1,,15,,7,29,20,16,,,8,13,2,,5,2,2,,7,1,10,1,1,2,,,,1,6,,,4,,1,2,1,,,10,6,3,3,1,,4,6,11,,7,1,7,5,7,3,3,,2,2,3,2,4,3,1,5,,,,3,259
Khersonska,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,4,,,,,,7,,,3,,1,,,,,,,,,1,,,,,,,20
Khmelnytska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Cherkaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chernivetska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chernihivska,,,,,1,,3,33,,17,1,3,3,1,1,8,,4,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,,,,,,,,2,,,,92
Sevastopilska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109